text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
monocle,7,corrective,A monocle is a type of corrective,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective')]",[0.9399999976158142]
monocle,8,lens,A monocle is a type of corrective lens,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.949999988079071]
monocle,35,can,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can","[('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[1.0, 0.4399999976158142]"
monocle,73,upper-class,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.8799999952316284]
monocle,117,worn,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn","[('Monocle | It', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'subclass of', 'Corrective lens | corrective lens')]","[0.9900000095367432, 0.5600000023841858, 0.10999999940395355]"
monocle,136,"error,","A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error,","[('Monocle | the monocle', 'part of', 'Top hat | long coat')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'part of', 'Top hat | long coat')]","[0.9900000095367432, 0.14000000059604645]"
monocle,139,glasses,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses","[('Optometry | optometry', 'is the study of', 'Glasses | glasses')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses')]","[0.9900000095367432, 0.9700000286102295]"
monocle,140,and,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and","[('Refractive error | refractive error', 'part of', 'Glasses | glasses')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Refractive error | refractive error', 'part of', 'Glasses | glasses')]","[0.9900000095367432, 0.15000000596046448]"
monocle,141,contact,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and contact","[('Glasses | glasses', 'field of work', 'Optometry | optometry')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses'), ('Glasses | glasses', 'field of work', 'Optometry | optometry')]","[0.9900000095367432, 0.9800000190734863, 1.0]"
monocle,142,lenses,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and contact lenses","[('Contact lens | contact lenses', 'subclass of', 'Glasses | glasses')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses'), ('Glasses | glasses', 'field of work', 'Optometry | optometry'), ('Contact lens | contact lenses', 'subclass of', 'Glasses | glasses')]","[0.9900000095367432, 0.6600000262260437, 0.9599999785423279, 0.18000000715255737]"
monocle,144,be,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and contact lenses can be","[('Optometry | optometry', 'is the study of', 'Contact lens | contact lenses')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses'), ('Optometry | optometry', 'is the study of', 'Contact lens | contact lenses'), ('Glasses | glasses', 'field of work', 'Optometry | optometry'), ('Glasses | glasses', 'field of work', 'Optometry | optometry')]","[0.9900000095367432, 0.7400000095367432, 0.9300000071525574, 0.2199999988079071, 0.9399999976158142, 1.0]"
monocle,147,different,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and contact lenses can be prescribed with different","[('Contact lens | contact lenses', 'field of work', 'Optometry | optometry')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses'), ('Optometry | optometry', 'is the study of', 'Contact lens | contact lenses'), ('Glasses | glasses', 'field of work', 'Optometry | optometry'), ('Contact lens | contact lenses', 'field of work', 'Optometry | optometry')]","[0.9900000095367432, 0.7400000095367432, 1.0, 0.7900000214576721, 1.0, 0.1899999976158142]"
